Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Panama,PAN,345000.0,345000.0,345000.0,345000.0,345000.0,345000.0,345000.0,345000.0,345000.0,345000.0
Papua New Guinea,PNG,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0
Paraguay,PRY,438000.0,438000.0,438000.0,438000.0,438000.0,438000.0,438000.0,438000.0,438000.0,438000.0
Peru,PER,479000.0,479000.0,479000.0,479000.0,479000.0,479000.0,479000.0,479000.0,479000.0,479000.0
Philippines,PHL,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0,1760000.0
Poland,POL,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0,19215000.0
Portugal,PRT,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0,9511000.0
Puerto Rico,PRI,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0,3131000.0
Qatar,QAT,309000.0,309000.0,309000.0,309000.0,309000.0,309000.0,309000.0,309000.0,309000.0,309000.0
Reunion,REU,304000.0,304000.0,304000.0,304000.0,304000.0,304000.0,304000.0,304000.0,304000.0,304000.0
Romania,ROU,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0,2757000.0
Russia,RUS,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0,19457000.0
Rwanda,RWA,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0
Saba,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Saint Kitts and Nevis,KNA,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0
Saint Lucia,LCA,231000.0,231000.0,231000.0,231000.0,231000.0,231000.0,231000.0,231000.0,231000.0,231000.0
Saint Vincent and the Grenadines,VCT,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Samoa,WSM,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0
San Marino,SMR,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0
Sao Tome and Principe,STP,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0
Saudi Arabia,SAU,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0,3325000.0
Senegal,SEN,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0
Serbia,SRB,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0
Serbia and Montenegro,OWID_SRM,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0
Seychelles,SYC,121000.0,121000.0,121000.0,121000.0,121000.0,121000.0,121000.0,121000.0,121000.0,121000.0
Sierra Leone,SLE,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0
Singapore,SGP,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0,6070000.0
Sint Eustatius,,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0,8800.0
Sint Maarten (Dutch part),SXM,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0
Slovakia,SVK,903000.0,903000.0,903000.0,903000.0,903000.0,903000.0,903000.0,903000.0,903000.0,903000.0
Slovenia,SVN,732000.0,732000.0,732000.0,732000.0,732000.0,732000.0,732000.0,732000.0,732000.0,732000.0
Solomon Islands,SLB,11800.0,11800.0,11800.0,11800.0,11800.0,11800.0,11800.0,11800.0,11800.0,11800.0
South Africa,ZAF,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0,4488000.0
Spain,ESP,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0,32971000.0
Sri Lanka,LKA,403000.0,403000.0,403000.0,403000.0,403000.0,403000.0,403000.0,403000.0,403000.0,403000.0
Sudan,SDN,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0
