Country,Country Code,Series,Series Code,2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
Emerging Market and Developing Economies,EMD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,9.24930876532,8.79171365603,7.93259790196,7.14240631895,7.0326621607,7.98264659565,7.76665545515,7.54614356057,7.32249487841,7.41884306365,7.26951434915,7.3941413951,7.80308843979,7.88727953898,7.54547289119,7.68632317705,9.186537005,8.5593435132,7.04022368619
Equatorial Guinea,GNQ,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Unemployment rate,Percent,,,",UNEMPSA_,11.225,10.35,10.125,8.025,5.95,4.625,5.425,13.6,16.7,12.325,9.975,8.6,7.3,6.175,6.775,5.8,5.375,4.45,6.8,6.175,5.6
Ethiopia,ETH,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe and Central Asia developing,ECA,"Unemployment rate,Percent,,,",UNEMPSA_,9.3696902022,9.40167200865,8.78646135066,8.15944707262,7.8758310798,7.1808041295,7.57102846068,9.82379312832,8.72464466333,7.53729573214,6.68343434332,6.88507235056,6.97161594027,7.31922193032,7.38989091278,7.11885282093,6.80201376578,7.44531881661,8.03532888853,7.04862573382,5.98406568411
Faeroe Islands,FRO,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,FIN,"Unemployment rate,Percent,,,",UNEMPSA_,9.47113751656,9.40662344494,9.20387248798,8.78769322897,8.09603751122,7.26197354246,6.75950982152,8.3906625986,8.53464961721,7.95127952204,7.82110715287,8.29240806813,8.75610977552,9.46204139474,8.91203933353,8.74817535787,7.39558631178,6.72107274596,7.73231673441,7.62576123407,6.7860162732
France,FRA,"Unemployment rate,Percent,,,",UNEMPSA_,7.525,8.125,8.525,8.5,8.525,7.675,7.1,8.75,8.925,8.825,9.4,9.95,9.9,10.025,9.725,9.1,8.7,8.175,7.85,7.65,7.05
French Polynesia,PYF,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gambia The,GMB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Unemployment rate,Percent,,,",UNEMPSA_,7.66599469474,8.77050708927,9.18131366686,9.11930735531,8.07901441387,8.53112470048,7.41021800383,7.22149625832,6.56206350537,5.50589363396,5.07871344242,4.94445577931,4.70390416558,4.36197118243,3.90293277208,3.56514512911,3.20776675648,2.97688970723,3.62975944911,3.5663540368,3.06517251777
Ghana,GHA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,10.60096703753,10.02038340549,9.03637355914,8.41936109302,7.76731451418,9.75576496536,12.97076896101,18.10245196996,24.82914870738,27.83035053558,26.64390678534,24.98756480035,23.86933351664,21.82552498433,19.77288251507,17.87640896266,17.64620404435,14.71177857988,12.15852437308
Greenland,GRL,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,GIN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High Income Countries,HIY,"Unemployment rate,Percent,,,",UNEMPSA_,7.10713385902,7.26034995656,7.01586782375,6.66079902514,6.18179391782,5.77829064342,6.01909505325,8.13897061529,8.49745056038,8.19441535519,8.29441424965,8.27057203562,7.65020494096,7.02650290942,6.53345205875,5.93147577791,5.38909191109,5.06048096291,6.84192021944,5.86819133399,4.69626307171
Honduras,HND,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hong Kong China,HKG,"Unemployment rate,Percent,,,",UNEMPSA_,7.22734603634,7.92070857546,6.88227371755,5.70873548785,4.84028417815,4.11842801314,3.43587108642,5.20597396395,4.41643603,3.46627241589,3.29883644922,3.39808752018,3.23772575374,3.30007892086,3.38314976647,3.15327800389,2.81546666739,2.91885020348,5.52181064344,5.42145446055,4.33136077308
Hungary,HUN,"Unemployment rate,Percent,,,",UNEMPSA_,5.4,5.45,5.675,6.775,7.05,7.025,7.425,9.7,10.75,10.675,10.7,9.8,7.5,6.6,4.975,4.075,3.6,3.3,4.15,4.05,3.575
Iceland,ISL,"Unemployment rate,Percent,,,",UNEMPSA_,..,3.5104458536,3.37460970588,2.91235240908,3.1893673464,2.46531509028,3.43010027425,8.10305192268,8.3630680662,7.63852474298,6.60119025018,5.84551907908,5.40587515384,4.49198511029,3.34397027926,3.21111805207,3.11429822782,3.95378160594,6.43008126827,5.90731290062,3.78704485368
India,IND,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,7.2,10.4,10.7,10,9.8,8.5,8.2,9.3,8.5,8.5,8.5,..,5.3,8,6,..
Indonesia,IDN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iran Islamic Rep.,IRN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iraq,IRQ,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,"Unemployment rate,Percent,,,",UNEMPSA_,4.725,4.85,4.75833333333,4.63333333333,4.76666666667,5.00833333333,6.80833333333,12.65,14.6,15.41666666667,15.48333333333,13.76666666667,11.9,9.925,8.38333333333,6.76666666667,5.80833333333,4.99166666667,5.84166666667,6.25833333333,4.44166666667
Isle of Man,IMN,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,6.89166666667,6.20833333333,5.88333333333,5.25833333333,4.83333333333,4.225,4,3.80833333333,4.31666666667,4.95833333333,3.75833333333
Italy,ITA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,8.05959918039,7.78729629761,6.86743493302,6.16460324079,6.78766162764,7.89277795704,8.54208941858,8.50871753096,10.8979822879,12.37899327391,12.81470831279,11.98541674986,11.74650583895,11.25934713927,10.58116159912,9.92198481511,9.31353490615,9.55784008134,8.0773130869
Jamaica,JAM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Unemployment rate,Percent,,,",UNEMPSA_,5.37372068577,5.25223429876,4.71435634082,4.42320216523,4.13949504318,3.83820528746,3.99457902197,5.06775477899,5.0480944706,4.58226309219,4.34778777134,4.02157756179,3.58737214103,3.37149659536,3.11320090755,2.80657442226,2.44170637572,2.34935991179,2.77549809274,2.8170304524,2.6001540426
