Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2021,YR2021,2.86
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2022,YR2022,3.27
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2017,YR2017,3.38
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2018,YR2018,3.52
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2019,YR2019,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2020,YR2020,3.79
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2021,YR2021,3.86
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2022,YR2022,4.54
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2017,YR2017,2.68
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2018,YR2018,2.74
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2019,YR2019,2.91
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2020,YR2020,3.11
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2021,YR2021,3.08
Food Prices for Nutrition 3.0,FPN 3.0,China,CHN,2022,YR2022,3.35
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2017,YR2017,2.84
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2018,YR2018,2.87
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2019,YR2019,2.95
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2020,YR2020,3.15
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2021,YR2021,3.34
Food Prices for Nutrition 3.0,FPN 3.0,Colombia,COL,2022,YR2022,4.13
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2017,YR2017,4.55
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2018,YR2018,..
